Geology,Soil Texture,Soil Permeability,Plan Curvature,Land Cover,Drainage Density,Elevation,Slope,Aspect,SPI,Flood_Inventory
-0.858437654,-0.536359179,-0.468474869,-1.177710514,-1.454490188,0.732934202,0.54722316,-0.733464587,-0.788476007,-1.16514593,0
1.1526803,1.336707643,-0.468474869,-1.177710514,1.368597584,-0.552696622,0.126209816,0.696671379,0.440996464,-0.779067182,0
0.750456709,-0.536359179,-0.468474869,-1.177710514,-1.454490188,-0.981240229,1.810263189,2.126807346,0.850820622,-0.779067182,0
-1.662884836,-1.472892591,-0.468474869,-0.09339208,-1.454490188,-1.409783837,1.389249846,0.696671379,0.031172307,-0.779067182,0
-0.456214063,1.336707643,-0.468474869,-0.09339208,-1.454490188,0.304390594,0.54722316,-0.733464587,-1.198300164,-1.551224677,0
-1.260661245,-0.536359179,-0.468474869,-0.09339208,0.239362475,-0.552696622,0.126209816,-0.733464587,-1.608124321,0.379169062,0
0.348233118,0.868440937,1.276594017,0.990926354,0.239362475,1.590021417,-0.71581687,-0.018396604,0.031172307,-1.16514593,0
0.750456709,-0.536359179,-0.468474869,-1.177710514,-1.454490188,0.304390594,-0.71581687,-0.018396604,1.670468936,1.151326557,0
-0.858437654,1.336707643,1.276594017,-0.09339208,0.239362475,-0.124153014,-0.71581687,-0.733464587,0.850820622,0.379169062,0
1.554903891,-0.536359179,-0.468474869,-1.177710514,0.239362475,-0.124153014,0.54722316,-0.018396604,-1.608124321,1.151326557,0
-1.662884836,-1.472892591,-0.468474869,0.990926354,0.239362475,0.304390594,0.968236503,-0.018396604,-0.37865185,0.76524781,0
-1.662884836,-1.472892591,-0.468474869,-1.177710514,0.239362475,0.732934202,1.810263189,-0.733464587,0.440996464,-1.551224677,0
0.750456709,-0.536359179,-0.468474869,0.990926354,-1.454490188,-0.124153014,1.810263189,1.411739363,-0.788476007,1.537405305,0
0.348233118,-0.536359179,-0.468474869,0.990926354,-1.454490188,-0.124153014,1.810263189,2.126807346,-0.788476007,-0.779067182,0
